,U,D,L,R
"(2, 4, 2)",0.5743449435914364,-0.1342826742013738,37.351030554749336,0.15939412552668988
"(2, 4, 3)",-0.3044980102596466,-0.15979471206665039,2.5360371633701324,-0.2900314165878296
"(2, 4, 4)",-0.31472491585235596,-0.3707552786636352,-0.22396590297468116,-0.42615531853179933
"(2, 4, 5)",-0.4383889719422567,-2.9764652252197266,-0.4589405064628601,-0.21364319997711184
"(2, 5, 1)",0.6241132822975304,-0.159375,-0.01025390625,-0.17850494384765625
"(2, 5, 2)",-0.014450886995901774,-0.17850551605224607,-0.18569000244140624,-0.02898321533203125
"(2, 5, 3)",-0.3191309555053711,-0.1648298063278198,-0.030771368408203124,-0.1565343365524292
"(2, 5, 4)",-0.2325606607979965,-0.25139761253814696,-0.3173546989059448,-1.3827152252197266
"(2, 5, 5)",-0.3199704666137695,-2.8658695220947266,-0.16063370418548584,-2.877565383911133
"(3, 1, 1)",-1.0467048792098284,-1.1545258276727306,-1.035090714799802,-1.0514231435268884
"(3, 1, 2)",-1.015494248207852,-1.0151085909103446,-1.0351339788838685,-1.067747137362064
"(3, 1, 3)",-0.8975776744360204,-0.9608711328652262,-0.9551642730642398,-1.0016467614258202
"(3, 1, 4)",-0.8963593636786514,-0.8727460219632339,-0.9188468347426351,-3.0
"(3, 1, 5)",-0.5512332916259766,-0.31160725936889644,-0.30000475845336916,-2.0446014404296875
"(3, 2, 1)",-1.1263233685405714,-1.2196356677473648,-1.2128107087282993,-1.1682930737590826
"(3, 2, 2)",-1.1500922441280306,-1.0438850120561491,-1.0039277328767318,-1.0734694417512198
"(3, 2, 3)",-0.8866937013555596,-0.9601746331572655,-0.9738943683929461,-0.8064526861319823
"(3, 2, 4)",-0.6927793506528854,-0.7305671574966723,-0.6791006387267837,-0.6503900936411905
"(3, 2, 5)",-2.994140625,-0.599321988377912,-0.5223541568560107,-0.42730887222290037
"(3, 3, 1)",-1.3102611568294384,12.38222224791089,-1.2638905332904362,-1.2463974648420364
"(3, 3, 2)",-1.11975239189485,0.4889302714378308,-0.2659308327388274,-1.0605627039384453
